,Title,Song Links,Artist,Streams,Date,Token,Loudness
155,Not Alike (feat. Royce Da 5'9),https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU,Eminem,677920,2018-10-03,28FGV3ORH14MYORd7s5dlU,-3.746
156,I'm Yours,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,677757,2018-10-03,3S0OXQeoh0w6AY8WQVckRW,-8.322
157,Hope,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,674959,2018-10-03,2ZRo7axmMPeSVUvDbGkJah,-6.081
158,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,673472,2018-10-03,4QtiVmuA88tPQiCOHZuQ5b,-3.112
159,Diamond Heart,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT,Alan Walker,672528,2018-10-03,4J4zx8xGJpuGndrVc06KaT,-6.145
160,HUMBLE.,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,670723,2018-10-03,7KXjTSCq5nL1LoYtL7XAwS,-6.638
161,Celoso,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg,Lele Pons,669779,2018-10-03,33zcmmElV1YbRZe57biUjg,-4.179
162,Me Dijeron,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh,Ozuna,668184,2018-10-03,17UUYZ290omPaJY4wKeyHh,-2.817
163,Venom - Music From The Motion Picture,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4,Eminem,667481,2018-10-03,2SL6oP2YAEQbqsrkOzRGO4,-5.063
164,Love No More,https://open.spotify.com/track/15fZrZhdK0g1BS9sDeW6sD,Loud Luxury,663839,2018-10-03,15fZrZhdK0g1BS9sDeW6sD,-6.249
165,Unica,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A,Ozuna,660522,2018-10-03,33b2wX9d0kxqxhi7lcsC1A,-3.048
166,Young Dumb & Broke,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,Khalid,658212,2018-10-03,5Z3GHaZ6ec9bsiI5BenrbY,-6.351
167,Call Out My Name,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,The Weeknd,648642,2018-10-03,1gm616Plq4ScqNi7TVkZ5N,-4.929
168,Silence,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,Marshmello,645389,2018-10-03,7vGuf3Y35N4wmASOKLUVVU,-3.093
169,Don’t Matter To Me (with Michael Jackson),https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0,Drake,644923,2018-10-03,6G8kHiVZ1jW7vHMPVRNZU0,-12.391
170,X,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,641678,2018-10-03,39N9RPD9MRb5WmoLzNzPeA,-4.736
171,RAP DEVIL,https://open.spotify.com/track/43TP6JCWXgkc2D7Xjz5hBr,Machine Gun Kelly,639246,2018-10-03,43TP6JCWXgkc2D7Xjz5hBr,-4.662
172,Thinking out Loud,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,636558,2018-10-03,1Slwb6dOYkBlWal1PGtnNg,-6.061
173,Something Just Like This,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,635116,2018-10-03,6RUKPb4LETWmmr3iAEQktW,-6.769
174,Problems,https://open.spotify.com/track/0ubdf6zWT1It2saK41SkO0,Lil Wayne,634879,2018-10-03,0ubdf6zWT1It2saK41SkO0,-6.937
175,Africa,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,TOTO,634119,2018-10-03,2374M0fQpWi3dLnB54qaLX,-18.064
176,Photograph,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,632776,2018-10-03,6fxVffaTuwjgEk5h9QyRjy,-10.48
177,Wonderwall - Remastered,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,Oasis,623558,2018-10-03,5qqabIl2vWzo9ApSC317sa,-4.066
178,Ric Flair Drip (& Metro Boomin),https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,Offset,620528,2018-10-03,7sO5G9EABYOXQKNPNiE9NR,-8.28
179,Let It All Work Out,https://open.spotify.com/track/3BUWNzPWz2mDbptZmGEXpB,Lil Wayne,620401,2018-10-03,3BUWNzPWz2mDbptZmGEXpB,-6.862
180,Madura (feat. Bad Bunny),https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,618788,2018-10-03,0r9d60ZYPAlFHq8qnUtkXN,-7.639
181,Estamos Bien,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn,Bad Bunny,616237,2018-10-03,7glCSQqV5o6NU88Cn4zPZn,-5.618
182,Wolves,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,Selena Gomez,612707,2018-10-03,0tBbt8CrmxbjRP0pueQkyU,-4.59
183,Greatest,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv,Eminem,606063,2018-10-03,2XTquzYQAdT1Hk78bOUwsv,-5.186
184,Mr. Brightside,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,The Killers,601556,2018-10-03,7oK9VyNzrYvRFo7nQEYkWN,-3.66
185,Por Perro,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,597032,2018-10-03,2alIsNw1mqEShbWyO1HXZZ,-5.18
186,Hopeless Romantic (feat. Swae Lee),https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM,Wiz Khalifa,596085,2018-10-03,7IBSffWIu7P2MC7kMwy2FM,-7.379
187,Hittas,https://open.spotify.com/track/5s6pKnF3ZPtuqvEx1i1V7U,Lil Wayne,595723,2018-10-03,5s6pKnF3ZPtuqvEx1i1V7U,-3.93
188,Open Safe,https://open.spotify.com/track/7EgI0dCaQuHFe3OTj5EpWI,Lil Wayne,594148,2018-10-03,7EgI0dCaQuHFe3OTj5EpWI,-5.373
189,Culpables,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn,Manuel Turizo,594052,2018-10-03,3RD0PGolM0mETGHaprwgMn,-11.134
190,goosebumps,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,Travis Scott,590642,2018-10-03,6gBFPUFcJLzWGx4lenP6h2,-3.37
191,All The Stars (with SZA),https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,588377,2018-10-03,3GCdLUSnKSMJhs4Tj6CV3s,-4.946
192,Remind Me to Forget,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80,Kygo,586180,2018-10-03,6xTU6B6nFwKKTSZ9ySXS80,-6.389
193,You Say,https://open.spotify.com/track/3ngc7rGlfeFaskU90EWl4R,Lauren Daigle,584531,2018-10-03,3ngc7rGlfeFaskU90EWl4R,-6.381
194,Perfect Duet (Ed Sheeran & Beyoncé),https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Ed Sheeran,584523,2018-10-03,1bhUWB0zJMIKr9yVPrkEuI,-7.365
195,Whatever It Takes,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb,Imagine Dragons,582592,2018-10-03,6Qn5zhYkTa37e91HC1D7lb,-5.021
196,Unforgettable,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,French Montana,580776,2018-10-03,3B54sVLJ402zGa6Xm4YGNe,-5.043
197,Let You Down,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL,NF,575398,2018-10-03,52okn5MNA47tk87PeZJLEL,-5.665
198,Plug Walk,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6,Rich The Kid,573042,2018-10-03,1ZAyjvIk9YiD76yYy0TEG6,-6.531
199,Took His Time,https://open.spotify.com/track/1Dk3CfJEtqvj7Xg2AWwfEn,Lil Wayne,570711,2018-10-03,1Dk3CfJEtqvj7Xg2AWwfEn,-3.417
200,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,DJ Snake,4552667,2018-10-04,4w8niZpiMy6qz1mntFA5uM,-4.206
201,Happier,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,Marshmello,4034746,2018-10-04,2dpaYNEQHiRxtZbfNsse99,-2.749
202,I Love It (& Lil Pump),https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,Kanye West,4025680,2018-10-04,4S8d14HvHb70ImctNgVzQQ,-8.304
203,Falling Down - Bonus Track,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,Lil Peep,3443258,2018-10-04,0Dn40gxVCMo5TkgS8Ik18Q,-6.442
204,Eastside (with Halsey & Khalid),https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,benny blanco,3047448,2018-10-04,0d2iYfpKoM0QCKvcLCkBao,-7.648
205,Promises (with Sam Smith),https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,Calvin Harris,2994477,2018-10-04,5N5k9nd479b1xpDZ4usjrg,-5.991
206,In My Mind,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,2880978,2018-10-04,0E9ZjEAyAwOXZ7wJC0PD33,-5.335
207,Mona Lisa (feat. Kendrick Lamar),https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8,Lil Wayne,2817063,2018-10-04,0dbTQYW3Ad1FTzIA9t90E8,-4.393
208,SICKO MODE,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,Travis Scott,2735888,2018-10-04,2xLMifQCjDGFmkHkpNLD9h,-3.714
209,In My Feelings,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,Drake,2659116,2018-10-04,2G7V7zsVDxg1yRsu7Ew9RJ,-5.833
210,Lucid Dreams,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,Juice WRLD,2538537,2018-10-04,0s3nnoMeVWz3989MkNQiRf,-7.23
211,Be Alright,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,Dean Lewis,2366496,2018-10-04,3EPXxR3ImUwfayaurPi3cm,-6.319
212,Electricity (with Dua Lipa),https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,Silk City,2340417,2018-10-04,5N4erncE7kuUccm7zEmwzk,-6.439
213,Better,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J,Khalid,2337509,2018-10-04,4T3fNx3CgwDRRYgmFCbD4J,-10.332
214,SAD!,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,2274554,2018-10-04,3ee8Jmje8o58CHK66QrVC2,-4.88
215,Lucky You (feat. Joyner Lucas),https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,Eminem,2269563,2018-10-04,60SdxE8apGAxMiRrpbmLY0,-4.884
216,Moonlight,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,XXXTENTACION,2259392,2018-10-04,0JP9xo3adEtGSdUEISiszL,-5.723
217,Girls Like You (feat. Cardi B),https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,2210019,2018-10-04,7fa9MBXhVfQ8P8Df9OEbD8,-6.825
218,FEFE (feat. Nicki Minaj & Murda Beatz),https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB,6ix9ine,2074400,2018-10-04,2E124GmJRnBJuXbTb4cPUB,-9.127
219,BEBE,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C,6ix9ine,2072482,2018-10-04,7ATATJztoWLcqDAcVVof0C,-3.559
220,Vaina Loca,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,Ozuna,2036508,2018-10-04,48zFZh27QU5qsrBjn4C2FA,-4.249
221,Natural,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,1946139,2018-10-04,4zIO3ilp5HvTeK3HJHxhMP,-6.106
222,Don't Cry (feat. XXXTENTACION),https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne,Lil Wayne,1933996,2018-10-04,5BQrp63SHCVf4bzCzJePne,-6.072
223,Taste (feat. Offset),https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,Tyga,1910645,2018-10-04,5IaHrVsrferBYDm0bDyABy,-7.442
224,I Like It,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,Cardi B,1885494,2018-10-04,58q2HKrzhC3ozto2nDdN4z,-3.998
225,Better Now,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,Post Malone,1861798,2018-10-04,7dt6x5M1jzdTEt8oCbisTK,-5.843
226,This Feeling (feat. Kelsea Ballerini),https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N,The Chainsmokers,1801274,2018-10-04,15kQGEy89K8deJcZVFEn0N,-7.906
227,Mo Bamba,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn,Sheck Wes,1745497,2018-10-04,3QybPutx0Tjk472bBKjNWn,-4.882
228,No Brainer,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8,DJ Khaled,1661950,2018-10-04,5WvAo7DNuPRmk4APhdPzi8,-4.706
229,Nonstop,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,Drake,1658696,2018-10-04,0TlLq3lA83rQOYtrqBqSct,-8.074
230,Beautiful (feat. Camila Cabello),https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,Bazzi,1653319,2018-10-04,4VUwkH455At9kENOfzTqmF,-4.722
231,Drip Too Hard,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3,Lil Ba,1644842,2018-10-04,1BxkZE73h9BN3qwuA15TA3,-6.962
232,Youngblood,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,1642499,2018-10-04,2iUXsYOEPhVqEBwsqP70rE,-5.114
233,Te Boté - Remix,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,1596106,2018-10-04,3V8UKqhEK5zBkBb6d6ub8i,-3.445
234,Wake Up in the Sky,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq,Gucci Mane,1588613,2018-10-04,0QIjsbm2fh1cJ45XO9eGqq,-5.144
235,Killshot,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv,Eminem,1579094,2018-10-04,1jo3TwNGCXfNdB5uba3ZVv,-8.645
236,breathin,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,Ariana Grande,1577034,2018-10-04,4OafepJy2teCjYJbvFE60J,-5.413
237,Solo (feat. Demi Lovato),https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6,Clean Bandit,1575667,2018-10-04,6kPJZM97LwdG9QIsT7khp6,-4.546
238,Rise,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,1567600,2018-10-04,3u1S1OmAUhx5DRlLrXqyp3,-4.653
239,Thunderclouds,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi,Sia,1546038,2018-10-04,5a8RPWgKSmcGBGcffmIrUi,-5.985
240,Uproar,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk,Lil Wayne,1535780,2018-10-04,3wScL5W8H40zzCKN0atfBk,-2.188
241,Let It Fly (feat. Travis Scott),https://open.spotify.com/track/0CBQ0m3mufWH75LTYB3s6h,Lil Wayne,1533718,2018-10-04,0CBQ0m3mufWH75LTYB3s6h,-3.321
242,Jocelyn Flores,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,1529316,2018-10-04,7m9OqQk4RVRkw9JJdeAw96,-9.144
243,Noticed,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC,Lil Mosey,1525841,2018-10-04,7d6XJZjnm7iWcKwYL9z5kC,-7.622
244,God is a woman,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,Ariana Grande,1509803,2018-10-04,5OCJzvD7sykQEKHH7qAC3C,-5.934
245,Shotgun,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,George Ezra,1446172,2018-10-04,4ofwffwvvnbSkrMSCKQDaC,-4.733
246,Body (feat. Brando),https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,1389986,2018-10-04,7K7MUBCnzgBAvMVW2RTWNs,-4.399
247,One Kiss (with Dua Lipa),https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,Calvin Harris,1387391,2018-10-04,7ef4DlsgrMEH11cDZd32M6,-3.24
248,What About Me (feat. Sosamann),https://open.spotify.com/track/3JX0dOCIAiaR8MP3ryXWuM,Lil Wayne,1381657,2018-10-04,3JX0dOCIAiaR8MP3ryXWuM,-6.566
249,No Es Justo,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,J Balvin,1366370,2018-10-04,5qFeMRz4TvetPmzjre9Dq7,-4.494
250,Cuando Te Besé,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,Becky G,1362197,2018-10-04,2XXMDz7SPZ4mSFN1PXfHUy,-3.713
251,rockstar (feat. 21 Savage),https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,Post Malone,1359211,2018-10-04,0e7ipj03S05BNilyu5bRzt,-6.09
252,Quiere Beber,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z,Anuel AA,1318509,2018-10-04,3rPAD722s5FFNnwjC91t7Z,-3.482
253,Jackie Chan,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,Tiësto,1310870,2018-10-04,4kWO6O1BUXcZmaxitpVUwp,-2.867
254,God's Plan,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,Drake,1300127,2018-10-04,6DCZcSspjsKoFjzjrWoCdn,-9.211
255,changes,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,XXXTENTACION,1299578,2018-10-04,7AFASza1mXqntmGtbxXprO,-10.068
256,New Patek,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud,Lil Uzi Vert,1291273,2018-10-04,0Fpen1PTuEnCmOJtUU9Iud,-4.963
257,Good,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG,e (feat. Nicki Minaj & Willy William),1285840,2018-10-04,5Xn4IyTtW6FUGIUyWjbUHG,-3.694
258,no tears left to cry,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,1267624,2018-10-04,2qT1uLXPVPzGgFOx4jtEuo,-5.507
259,High Hopes,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,1267506,2018-10-04,1rqqCSm0Qe4I9rUvWncaom,-2.729
260,Dedicate,https://open.spotify.com/track/0Y7di9ZCmB6Elad5WISaPc,Lil Wayne,1259850,2018-10-04,0Y7di9ZCmB6Elad5WISaPc,-6.162
261,No Stylist,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,French Montana,1256899,2018-10-04,04MLEeAMuV9IlHEsD8vF6A,-4.589
262,Sin Pijama,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,Becky G,1182856,2018-10-04,2ijef6ni2amuunRoKTlgww,-3.695
263,Love Someone,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ,Lukas Graham,1169961,2018-10-04,2JqnpexlO9dmvjUMCaLCLJ,-6.557
264,Praise The Lord (Da Shine) (feat. Skepta),https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,1162618,2018-10-04,7ycWLEP1GsNjVvcjawXz3z,-8.152
265,Mala Mía,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,Maluma,1157865,2018-10-04,62o8KoI44JfN7aYxgTnPvh,-4.883
266,Let You Love Me,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,Rita Ora,1136905,2018-10-04,6xtcFXSo8H9BZN637BMVKS,-3.149
267,Can't Be Broken,https://open.spotify.com/track/5cGpjfgAvidLy6znwkCxkP,Lil Wayne,1136129,2018-10-04,5cGpjfgAvidLy6znwkCxkP,-5.997
268,Fuck Love (feat. Trippie Redd),https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,1122477,2018-10-04,7AQim7LbvFVZJE3O8TYgf2,-9.74
269,2002,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,1118298,2018-10-04,2BgEsaKNfHUdlh97KmvFyo,-2.881
270,Amigos Con Derechos,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,Reik,1114376,2018-10-04,2zDj4WjbNDmrRL6Z4YjjCA,-3.324
271,Psycho (feat. Ty Dolla $ign),https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,Post Malone,1110591,2018-10-04,3swc6WTsr7rl9DqQKQA55C,-8.011
272,Shallow,https://open.spotify.com/track/5lK18Pt33xNudq4qYDxIm8,Lady Gaga,1100326,2018-10-04,5lK18Pt33xNudq4qYDxIm8,-6.341
273,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1099673,2018-10-04,7qiZfU4dY1lWllzX7mPBI3,-3.183
274,REMEDY,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg,Alesso,1077777,2018-10-04,6jreFSOTUAViWjKyzOC4Kg,-4.612
275,STARGAZING,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m,Travis Scott,1056066,2018-10-04,7wBJfHzpfI3032CSD7CE2m,-3.69
276,Sweet but Psycho,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,Ava Max,1024842,2018-10-04,25sgk305KZfyuqVBQIahim,-4.724
277,Believer,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,1023990,2018-10-04,0pqnGHJpmpxLKifKRmU6WP,-4.374
278,Perfect,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,1016032,2018-10-04,0tgVpDi06FyKpA1z0VMD4v,-6.312
279,Yes Indeed,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,Lil Ba,1014967,2018-10-04,6vN77lE9LK6HP2DewaN6HZ,-9.309
280,Happy Now,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa,Zedd,1013992,2018-10-04,4keoy2fqgwGnbWlm3ZVZFa,-5.128
281,Back To You - From 13 Reasons Why – Season 2 Soundtrack,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,994458,2018-10-04,4hQ6UGyWQIGJmHSo0J88JW,-4.856
282,Clandestino,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf,Shakira,988657,2018-10-04,7DrluKkTviBwCc8AV3VGmf,-4.126
283,lovely (with Khalid),https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,986367,2018-10-04,0u2P5u6lvoDfwTYjAADbn4,-10.109
284,Ya No Tiene Novio,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,980809,2018-10-04,7uQmJ1jgNzBpATSoWKSPFu,-1.948
285,Whenever (feat. Conor Maynard),https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z,Kris Kross Amsterdam,978551,2018-10-04,3DGar7krWlmrXRFHBcQF6z,-5.562
286,Asesina,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK,Brytiago,976864,2018-10-04,6rbhaJsE4uLzpPf8WYSHDK,-5.233
287,Havana (feat. Young Thug),https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,Camila Cabello,957084,2018-10-04,1rfofaqEpACxVEHIZBJe6W,-4.333
288,IDGAF,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,Dua Lipa,956610,2018-10-04,76cy1WJvNGJTj78UqeA5zr,-5.975
289,Ocean (feat. Khalid),https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS,Martin Garrix,952020,2018-10-04,3nc420PXjTdBV5TN0gCFkS,-7.265
290,FRIENDS,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,Marshmello,949185,2018-10-04,08bNPGLD8AhKpnnERrAc6G,-2.384
291,Culpables,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,KAROL G,947171,2018-10-04,6q8Lb50EtqNeeJXXe8mMAH,-2.942
292,Leave Me Alone,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,Flipp Dinero,925933,2018-10-04,14mHfNsSHN0FbLftyjrV9g,-2.806
293,The Middle,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,Zedd,925696,2018-10-04,09IStsImFySgyp0pIQdqAc,-3.061
294,High On Life (feat. Bonn),https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy,Martin Garrix,921686,2018-10-04,4ut5G4rgB1ClpMTMfjoIuy,-6.431
295,The Ringer,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE,Eminem,917513,2018-10-04,2jt2WxXMCD4zjACthkJQVE,-9.126
296,Thunder,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,911664,2018-10-04,1zB4vmk8tFRmM9UULNzbLB,-4.833
297,New Rules,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,Dua Lipa,909706,2018-10-04,2ekn2ttSfGqwhhate0LSR0,-6.021
298,SLOW DANCING IN THE DARK,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6,Joji,908591,2018-10-04,0UyljEbX9dqI1K0sqdv6B6,-7.458
299,Nevermind,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,Dennis Lloyd,907840,2018-10-04,63SevszngYpZOwf63o61K4,-8.354
300,Don't Leave Me Alone (feat. Anne-Marie),https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24,David Guetta,902257,2018-10-04,2zy9TMoZlYGuCNY4TLqG24,-7.838
301,Nice For What,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,Drake,898687,2018-10-04,3CA9pLiwRIGtUBiMjbZmRw,-6.474
302,I Like Me Better,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,Lauv,896088,2018-10-04,2P91MQbaiQOfbiz9VqhqKQ,-7.621
303,No Me Acuerdo,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd,Thalía,895199,2018-10-04,00EPIEnX1JFjff8sC6bccd,-4.247
304,Everybody Dies In Their Nightmares,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,886821,2018-10-04,3GVkPk8mqxz0itaAriG1L7,-7.066
305,Say My Name,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,David Guetta,884508,2018-10-04,0YammaEkYSeo9vQYZ1OwS6,-5.119
306,Born To Be Yours,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM,Kygo,874529,2018-10-04,0kHyKhJMukHEPfeh8s7rdM,-5.84
307,Toda - Remix,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL,Alex Rose,870127,2018-10-04,7nD2JPaxIKUdxd2UWgnaGL,-7.217
308,Love Lies (with Normani),https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,Khalid,866431,2018-10-04,45Egmo7icyopuzJN0oMEdk,-5.626
309,All Girls Are The Same,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm,Juice WRLD,861421,2018-10-04,0XySogm94T51XF5F2jumXm,-7.226
310,Trip,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa,Ella Mai,857918,2018-10-04,7noud145AHZGg74vpWOsCa,-5.68
