,Title,Artist,Streams,Date,Token,Duration,Loudness,Speechiness,Energy,Tempo,Valence,Instrumentalness,Modality
428,Hallelujah,Pentatonix,1436269,2018-12-25,550rQQCGkrTzvp4SfpOPzx,268960,-7.385,0.0361,0.377,119.483,0.367,0.0,1
429,"Have Yourself A Merry Little Christmas - ""Meet Me In St. Louis"" Original Cast Recording",Judy Garland,1424129,2018-12-25,4eqne0oIdt9GW2ubiliny0,162200,-16.091,0.0357,0.161,64.16,0.111,0.000905,1
430,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,1376482,2018-12-25,25leEEaz1gIpp7o21Fqyjo,150267,-11.99,0.0358,0.372,96.628,0.976,0.0,1
431,Sleigh Ride,Ella Fitzgerald,1340781,2018-12-25,79a2ejVzj2SpXkpWdfv1Co,175987,-12.332,0.0794,0.297,154.639,0.622,0.0,1
432,Sleigh Ride,Carpenters,1309817,2018-12-25,597IVBYr60vm0HKjgOnztJ,159440,-15.632,0.0723,0.243,100.774,0.578,0.0,1
433,This Christmas,Donny Hathaway,1280992,2018-12-25,7MSYSOobsombc1mbDWFxtD,231173,-9.2,0.0376,0.645,93.05,0.677,0.0,1
434,It's Beginning To Look Like Christmas,Bing Cros,1239069,2018-12-25,44mYhOVgerj2qPjkGDVA6n,166000,-15.018,0.0496,0.212,96.94,0.576,0.0,0
435,Have Yourself a Merry Little Christmas,Christina Aguilera,1227203,2018-12-25,0iV9yfj1knFNOSEiuTHZwl,243133,-10.433,0.04,0.274,68.534,0.164,1.18e-05,1
436,Mele Kalikimaka (Merry Christmas),Bing Cros,1210329,2018-12-25,04vLj9QUXoKdRlsp3gkURo,175333,-12.431,0.0935,0.224,202.481,0.62,0.0,1
437,Last Christmas,Ariana Grande,1207718,2018-12-25,5xDrO9DEDJGUQGfyoHvgDJ,203653,-2.775,0.0272,0.793,102.986,0.802,0.0,1
438,Cold December Night,Michael Bublé,1185271,2018-12-25,4FPrAERfkPKOBKrRoyuxLu,198267,-6.763,0.0247,0.702,83.873,0.414,0.0,1
439,Silver Bells,Dean Martin,1172926,2018-12-25,4QX5pZQpQTgVlkqfUTDim0,142560,-13.967,0.0306,0.259,97.085,0.604,0.0,1
440,"You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'",Thurl Ravenscroft,1156412,2018-12-25,6Tof6kPUc2a17GKaKz4IXz,315733,-10.901,0.28,0.475,89.2,0.437,0.00372,1
441,Ba,It's Cold Outside (duet with Michael Bublé),1154753,2018-12-25,0Ie5uiv54KgCr7P4sYDTHl,166147,-8.869,0.0649,0.476,113.401,0.558,0.0,1
442,Rudolph The Red-Nosed Reindeer,Burl Ives,1153450,2018-12-25,4hXAK3mjFVFOOiJQ3rKAXi,130027,-12.767,0.0475,0.275,153.251,0.774,0.0,1
443,This Christmas,Christina Aguilera,1147675,2018-12-25,32h59T8q2SonUPJ006lyXt,241507,-5.466,0.0603,0.744,183.79,0.701,0.0,1
444,"Oh Holy Night - Recorded at Metropolis Studios, London",Nina Nesbitt,1145635,2018-12-25,2HD7DoEe9FdtvGdAdQIv5W,227887,-10.191,0.0337,0.197,178.893,0.338,0.0,1
445,Man With The Bag,Jessie J,1129723,2018-12-25,2Ysi49tRdVH74d1Cnc4o94,163560,-3.178,0.0739,0.676,140.677,0.684,0.0,1
446,The First Noel - Remastered 1999,Frank Sinatra,1118810,2018-12-25,6keKIzkXWdbwJWMBJQUwYl,161373,-15.969,0.0365,0.153,84.741,0.157,0.00012,1
447,Mary's Boy Child / Oh My Lord,Boney M.,1110546,2018-12-25,2qqZ5fOGuNvYVzgPFDLQ4l,241427,-8.722,0.0361,0.718,112.542,0.925,0.0,1
448,Shake up Christmas,Train,1094741,2018-12-25,1NghHeg0wE32eBYrQBVQXL,232213,-2.187,0.0654,0.831,81.531,0.572,0.0,1
449,Christmas Time Is Here - Recorded at Sound Emporium Nashville,Devin Dawson,1086277,2018-12-25,1dinW5tLGDdPhxtW8vMkUn,204347,-13.207,0.0518,0.195,80.983,0.157,0.0,1
450,Happy Xmas (War Is Over),Céline Dion,1075660,2018-12-25,1wur1SW656paPv7EyTqWu4,254707,-5.256,0.0293,0.604,172.075,0.168,0.0,1
451,Merry Xmas Everybody,Slade,1068722,2018-12-25,3iwZ8hg0q1kTBB5kjg0nO4,205467,-9.436,0.0499,0.623,128.268,0.511,0.000731,1
452,"White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London",George Ezra,1064659,2018-12-25,7F9oCEKbqjN99cV5HpvYER,192459,-12.788,0.0289,0.32,115.808,0.437,0.00202,1
453,Christmas Time,Backstreet Boys,1063324,2018-12-25,5x37oQPX5730aqxlvXT2qa,251267,-9.363,0.0243,0.566,144.061,0.495,0.0,1
454,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,1054872,2018-12-25,299lFlaAsNQdgbIZNPmIA0,166387,-19.697,0.0318,0.145,75.474,0.0911,6.86e-06,0
455,Sleigh Ride,Johnny Mathis,1051530,2018-12-25,6XAdcAseYtijN0QUnQFsH2,178720,-8.95,0.0274,0.664,103.178,0.886,0.0,1
456,The Little Drummer Boy,Bing Cros,1045086,2018-12-25,2zHu4GAsQIw2skGszWEMFY,177760,-15.647,0.0339,0.131,112.152,0.445,9.48e-05,1
457,All I Want for Christmas Is You,Michael Bublé,1017560,2018-12-25,0xPaZrF25ltzvz1a2Pm5DQ,171827,-8.077,0.0274,0.465,141.796,0.143,0.0,0
458,O Holy Night,Mariah Carey,1011508,2018-12-25,3B7FO3kJ5kv3mX7yiaB7sT,266933,-7.208,0.0287,0.505,174.066,0.192,6.46e-06,1
459,Merry Christmas Darling - Album Version/Remix,Carpenters,1005214,2018-12-25,1QXg7pVx5hpAZWw8KIAcGw,186973,-15.181,0.0327,0.24,81.113,0.193,0.0,1
460,Frosty The Snowman,Ella Fitzgerald,989546,2018-12-25,76nIlhb7sx9W9ceQKVKreg,131733,-7.424,0.0514,0.497,76.532,0.846,0.0,1
461,Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley,984463,2018-12-25,7n7VsX3sv66znBwA8b5uhp,115827,-16.982,0.0426,0.235,79.578,0.834,0.0198,1
462,Christmas (Ba,Please Come Home),971345,2018-12-25,66WPXyhXqMlkM1kZhyEXWK,187920,-5.696,0.03,0.793,125.998,0.672,8.29e-06,1
463,Bring Me Love,John Legend,967864,2018-12-25,1aoIbIxOlTOgH9nyiJvFPz,199547,-6.276,0.425,0.86,191.511,0.582,0.0,1
464,Happy Xmas (War Is Over),Miley Cyrus,921552,2018-12-25,5KHzV8Gf3aweIMImliFAOs,220589,-4.893,0.0486,0.637,92.045,0.197,0.0,1
465,2000 Miles - 2007 Remaster,Pretenders,905004,2018-12-25,5wTM2Bm8phDwHAuOsfBwhU,220427,-9.051,0.035,0.708,66.214,0.453,0.0267,1
466,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber,903445,2018-12-25,3eYnKe0LhQA1B5HEkQaRTP,215160,-9.542,0.0411,0.436,69.047,0.159,0.0,0
467,Have Yourself a Merry Little Christmas,Michael Bublé,898221,2018-12-25,1DnSNqCQM3LUxqFuXt184Q,230307,-11.395,0.0321,0.276,68.764,0.195,0.00167,1
468,Silent Night,Carpenters,871756,2018-12-25,0i7lZhEMEheehKyCtBJIIL,201040,-16.878,0.0363,0.174,89.095,0.123,0.00051,1
469,Sleigh Ride,Andy Williams,869713,2018-12-25,5ymVfeMK8cDew5vzntTuc7,128400,-9.155,0.0537,0.634,109.575,0.805,0.0,0
470,8 Days of Christmas - Live,Destiny's Child,868504,2018-12-25,3WrG9BpOPQWUus3FjA1Tny,210133,-1.18,0.194,0.843,99.789,0.638,0.0,0
471,The Man With The Bag,Kay Starr,859869,2018-12-25,56dllQaFZBw3SPTiKZvqYH,160640,-7.109,0.0764,0.319,70.057,0.747,3.96e-06,1
472,Stop the Cavalry - Radio Edit,Jona Lewie,841893,2018-12-25,517HDzHbAwuGM25wiU5r9J,177523,-9.47,0.0395,0.385,97.206,0.736,0.00315,1
473,Rockin' Around The Christmas Tree,Mel & Kim,815389,2018-12-25,5gpImN0eqlucE3a3r121SF,223951,-10.795,0.108,0.589,144.148,0.657,0.0,1
474,All I Want For Christmas (Is My Two Front Teeth) - Remastered,Nat King Cole Trio,811652,2018-12-25,4FQJyi8gnbhKy623wNx6Ps,151893,-16.759,0.071,0.0869,130.566,0.502,0.0,1
475,I Wish It Could Be Christmas Everyday,Wizzard,809924,2018-12-25,1mH6tZC6iXIHPI6EixCwxw,278947,-6.43,0.0515,0.914,139.955,0.528,1.4e-05,1
476,Feliz Navidad - Recorded at Spotify Studios NYC,Why Don't We,805736,2018-12-25,4uqRDeCgXPLQFYqA5uf5Tr,148086,-5.422,0.0433,0.58,133.974,0.66,0.0,0
477,Here We Come a-Caroling / We Wish You a Merry Christmas,Perry Como,800397,2018-12-25,4LUAIXN6bpnEVaJZOLfuDt,94733,-16.883,0.0471,0.166,93.914,0.707,0.0,1
478,The Happiest Christmas Tree,Nat King Cole,795770,2018-12-25,5aJP0MZjb8LtPAT5WicCZm,103747,-11.528,0.4,0.456,205.882,0.94,0.0,1
479,What Child Is This?/The Holly And The Ivy,Bing Cros,779163,2018-12-25,4DywxkC9fZ59pBIOS8UFuX,200267,-15.232,0.0361,0.181,112.913,0.178,0.00245,1
480,Winter Wonderland,Hannah Kerr,777725,2018-12-25,6KsFSrVS3DwG4xNAPQvznC,157600,-7.97,0.0347,0.412,124.891,0.47,0.0,1
481,I'll Be Home For Christmas,Bing Cros,772392,2018-12-25,4lftz0V8DZhWSVtL4GrzMH,175173,-16.084,0.0321,0.146,84.041,0.176,0.0,0
482,It's Beginning to Look a Lot like Christmas,Michael Bublé,1407534,2018-12-26,0lLdorYw7lVrJydTINhWdI,206347,-11.042,0.0331,0.232,93.269,0.381,9.21e-06,1
483,Jingle Bell Rock,Bob,1278547,2018-12-26,7vQbuQcyTflfCIOu3Uzzya,130973,-8.463,0.0363,0.424,119.705,0.806,0.0,1
484,It's the Most Wonderful Time of the Year,Andy Williams,1257502,2018-12-26,5hslUAKq9I9CG2bAulFkHN,151933,-8.435,0.037,0.598,202.082,0.776,0.0,1
485,Rockin' Around The Christmas Tree,Brenda Lee,1245827,2018-12-26,2EjXfH91m7f8HiJN1yQg97,126267,-8.749,0.0502,0.472,67.196,0.898,0.0,1
486,Do They Know It's Christmas? - 1984 Version,Band Aid,1241830,2018-12-26,0247StOpd3AkeBQzANX4Zf,222533,-6.936,0.0363,0.642,115.412,0.349,3.33e-05,1
487,Happy Xmas (War Is Over) - Remastered,John Lennon,1177643,2018-12-26,3zJw3rugfpVrmBeDDnUYzy,213880,-11.076,0.0315,0.607,146.539,0.395,0.0,1
488,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,1174645,2018-12-26,7Lbxvt42JsNSKVCaN63qhD,227653,-8.914,0.0319,0.511,94.736,0.771,0.0,1
489,Mistletoe,Justin Bieber,1044115,2018-12-26,7xapw9Oy21WpfEcib2ErSA,182947,-9.049,0.0467,0.56,161.994,0.854,0.0,0
490,Driving Home for Christmas,Chris Rea,973119,2018-12-26,3Z3QhZAZpqwZa1phsbQ3JZ,240213,-9.047,0.0361,0.661,180.225,0.894,0.000317,1
491,Feliz Navidad,José Feliciano,932331,2018-12-26,7taXf5odg9xCAZERYfyOkS,182360,-7.059,0.0442,0.857,148.749,0.963,0.0,1
492,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,898606,2018-12-26,7inXu0Eaeg02VsM8kHNvzM,155600,-11.489,0.0599,0.321,143.104,0.844,0.0,1
493,Underneath the Tree,Kelly Clarkson,879042,2018-12-26,3nAp4IvdMPPWEH9uuXFFV5,229640,-5.438,0.0537,0.812,159.876,0.689,1.99e-05,1
494,White Christmas,Bing Cros,871942,2018-12-26,4so0Wek9Ig1p6CRCHuINwW,177480,-16.485,0.0381,0.158,130.503,0.247,0.353,1
495,The Christmas Song (Merry Christmas To You),Nat King Cole,840611,2018-12-26,4PS1e8f2LvuTFgUs1Cn3ON,192160,-15.231,0.0341,0.21,78.696,0.209,8.06e-05,1
496,Have Yourself A Merry Little Christmas,Sam Smith,828051,2018-12-26,1Qi2wh8fFgDV7tl4Sj3f2K,170964,-9.409,0.0416,0.181,145.512,0.318,0.0,1
497,Holly Jolly Christmas,Michael Bublé,813798,2018-12-26,6tjituizSxwSmBB5vtgHZE,119787,-8.308,0.0428,0.465,151.251,0.699,0.0,1
498,A Holly Jolly Christmas - Single Version,Burl Ives,756773,2018-12-26,65Q2mv3UlVi9eO70OpsmSe,135533,-12.937,0.0309,0.37,140.352,0.862,0.0,1
499,Sleigh Ride,The Ronettes,746791,2018-12-26,5ASM6Qjiav2xPe7gRkQMsQ,181267,-7.013,0.0288,0.772,91.735,0.852,2.52e-06,1
500,Merry Christmas Everyone - Remastered,Shakin' Stevens,723839,2018-12-26,2ISl1zekPsc26sUQpVt8UB,220160,-3.101,0.0358,0.909,203.862,0.962,0.0,1
501,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,715241,2018-12-26,6pVW5LRWgeLaHudxauOTJU,126360,-3.592,0.0312,0.841,128.718,0.84,0.0,1
502,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,714227,2018-12-26,2uFaJJtFpPDc5Pa95XzTvg,117147,-14.014,0.0351,0.24,134.005,0.701,2.45e-06,1
503,Santa Claus Is Coming to Town,Michael Bublé,697449,2018-12-26,5Ber68jZ7ytegr2UISEdb7,171093,-7.109,0.0517,0.389,122.331,0.396,0.0,1
504,Christmas Lights,Coldplay,673389,2018-12-26,4fzyvSu73BhGvi96p2zwjL,242496,-9.146,0.0296,0.418,130.795,0.237,0.000679,1
505,Fairytale of New York (feat. Kirsty MacColl),The Pogues,671816,2018-12-26,3VTNVsTTu05dmTsVFrmGpK,272200,-6.335,0.0342,0.651,118.501,0.474,4.73e-05,1
506,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,669089,2018-12-26,2pXpURmn6zC5ZYDMms6fwa,155933,-12.25,0.0599,0.276,112.89,0.717,0.0,1
507,Blue Christmas,Elvis Presley,657260,2018-12-26,3QiAAp20rPC3dcAtKtMaqQ,129173,-16.661,0.0425,0.27,94.519,0.58,0.00104,1
508,Ba,", It's Cold Outside",640670,2018-12-26,5Q2P43CJra0uRAogjHyJDK,173560,-4.776,0.0366,0.572,113.998,0.684,0.0,1
509,My Only Wish (This Year),Britney Spears,611212,2018-12-26,1UQbxSOVbauPxaUh337GTx,255120,-7.399,0.0277,0.741,147.077,0.669,0.0,1
510,Christmas (Ba,Please Come Home),604733,2018-12-26,3PIDciSFdrQxSQSihim3hN,153240,-7.444,0.0311,0.782,127.16,0.697,0.0,1
511,Last Christmas,Wham!,776544,2018-12-27,2FRnf9qhLbvw8fu4IBXx78,262960,-12.472,0.0293,0.478,107.682,0.947,2.48e-06,1
512,Veneno,Anitta,615164,2018-12-27,1KFN3kB4hc6r7ILpifFsqf,158005,-5.074,0.107,0.768,89.917,0.295,3.39e-06,0
513,200 Mph,Bad Bunny,743939,2018-12-28,5jGUJXnELDaDTgiRjD9lsg,170509,-6.708,0.0665,0.5,160.02,0.816,0.000384,1
514,Santa Tell Me,Ariana Grande,630787,2018-12-28,0lizgQ7Qw35od7CYaoMBZb,204093,-7.316,0.173,0.628,191.708,0.556,0.0,1
515,can't leave without it,21 Savage,581587,2018-12-28,0hPLZrnDgtKxrym1BHjDhd,205352,-6.952,0.359,0.591,131.982,0.696,0.0,0
516,Está Rico,Marc Anthony,569914,2018-12-29,2wRkBumdItthjYP9XknImg,215151,-4.566,0.283,0.74,130.04,0.674,0.0,0
517,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,942923,2018-12-31,3DGar7krWlmrXRFHBcQF6z,163636,-5.562,0.0621,0.765,109.989,0.518,0.0,1
518,Nevermind,Dennis Lloyd,898241,2018-12-31,63SevszngYpZOwf63o61K4,156600,-8.354,0.196,0.691,99.976,0.0796,9.78e-06,1
519,Like I Do,David Guetta,869598,2018-12-31,4aBYzs8RxZMuqyOanNlf8I,201560,-4.905,0.0343,0.871,128.042,0.187,0.00655,0
520,Without You (feat. Sandro Cavazza),Avicii,787084,2018-12-31,6Pgkp4qUoTmJIPn7ReaGxL,181673,-4.799,0.0457,0.863,134.004,0.276,0.0,1
521,Good,e (feat. Nicki Minaj & Willy William),743474,2018-12-31,5Xn4IyTtW6FUGIUyWjbUHG,195419,-3.694,0.0739,0.904,103.028,0.481,0.0,1
522,Flames,David Guetta,731118,2018-12-31,66BjcDhhwWCcQIBxHMpKXh,194680,-5.892,0.0385,0.649,93.95,0.421,3.8e-06,0
523,Mi Gente,J Balvin,730844,2018-12-31,7COfe3P7KgfwDwIRB8LIDw,185040,-4.838,0.0777,0.704,104.666,0.288,2.25e-05,0
524,Freaky Friday (feat. Chris Brown),Lil Dicky,727852,2018-12-31,10Igtw8bSDyyFs7KIsKngZ,216632,-5.042,0.224,0.599,133.123,0.755,0.0,1
525,More Than You Know,Axwell /\ Ingrosso,708025,2018-12-31,6h5PAsRni4IRlxWr6uDPTP,203000,-4.973,0.034,0.741,123.077,0.571,0.0,0
526,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,697842,2018-12-31,1TfqLAPs4K3s2rJMoCokcS,216933,-7.498,0.0317,0.711,125.135,0.875,0.0,0
527,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,692027,2018-12-31,2tUBqZG2AbRi7Q0BIrVrEj,291293,-8.824,0.0453,0.824,118.814,0.867,0.000307,1
528,All I Want for Christmas Is You,Mariah Carey,682293,2018-12-31,0bYg9bo50gSsH3LtXe2SQn,241107,-7.462,0.0386,0.625,150.277,0.346,0.0,1
529,Billie Jean,Michael Jackson,870194,2019-01-01,5ChkMS8OtdzJeqyybCc9R5,293827,-3.051,0.0401,0.654,117.046,0.847,0.0158,0
530,Feel It Still,Portugal. The Man,682086,2019-01-01,6QgjcU0zLnzq5OrUoSZ3OK,163253,-5.115,0.0504,0.795,79.028,0.754,0.000113,0
531,Ciumeira - Ao Vivo,Marília Mendonça,668142,2019-01-01,2H1liABu20HXBOmbt5SQz1,190084,-4.83,0.0452,0.813,123.842,0.765,0.0,0
532,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,667167,2019-01-01,3bidbhpOYeV4knp8AIu8Xn,258343,-4.457,0.0786,0.922,146.078,0.847,0.0,1
533,X,Nicky Jam,623835,2019-01-01,39N9RPD9MRb5WmoLzNzPeA,173628,-4.736,0.0549,0.773,180.073,0.711,0.00108,0
534,One Dance,Drake,614205,2019-01-01,1zi7xx7UVEFkmKfv06H8x0,173987,-5.857,0.0516,0.61,103.99,0.391,0.00286,1
535,No Me Acuerdo,Thalía,606923,2019-01-01,1G586ld1gbaECg4Bc6w40O,217653,-4.531,0.101,0.784,94.036,0.748,0.0,0
536,Despacito - Remix,Luis Fonsi,592324,2019-01-01,6rPO02ozF3bM7NnOV4h6s2,228827,-4.353,0.167,0.816,178.086,0.816,0.0,1
537,Finesse - Remix; feat. Cardi B,Bruno Mars,577058,2019-01-01,3Vo4wInECJQuz9BIBMOu8i,217289,-4.877,0.0996,0.859,105.115,0.926,0.0,0
538,Hey Ya!,OutKast,568622,2019-01-01,2PpruBYCo4H7WOBJ7Q2EwM,235213,-2.261,0.0665,0.974,79.526,0.965,0.000532,0
539,Take on Me,a-ha,565994,2019-01-01,2WfaOiMkCvy7F5fcp2zZ8L,225280,-7.638,0.054,0.902,84.412,0.876,0.00125,0
540,Não Fala Não pra Mim,Humberto & Ronaldo,560658,2019-01-01,0PaAB17axL9hn88mHiw8g0,196613,-2.555,0.0402,0.794,157.987,0.765,0.0,1
541,Cheap Thrills,Sia,554971,2019-01-01,27SdWb2rFzO6GWiYDBTD9j,211667,-5.608,0.105,0.698,89.976,0.732,0.00143,0
542,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,536886,2019-01-01,79hJaqmVdohltPBNN6BULM,281667,-15.539,0.0355,0.567,103.606,0.955,0.00105,0
543,Medley da Gaiola - Dennis DJ Remix,MC Kevin o Chris,536447,2019-01-01,7rLegaz7zKB6EtDNzcslKE,240000,-5.243,0.236,0.757,140.038,0.613,0.0,0
544,"Quem Pegou, Pegou - Ao Vivo",Henrique & Juliano,524230,2019-01-01,0kCqaybZgYcLYxzZymmBoc,183888,-5.396,0.0263,0.682,104.017,0.678,0.0,1
545,HaifischNikez Allstars,LX,544655,2019-01-02,0kLA41xkWzzYzMIEGFuDkP,182925,-5.529,0.448,0.744,87.538,0.507,0.0,0
546,Born To Be Yours,Kygo,574334,2019-01-03,4M3FO0ji6Lc8vwD1sgf1nc,193320,-5.808,0.0371,0.709,114.02,0.456,0.0,1
547,In My Head,Peter Manos,570324,2019-01-03,1tT55K6VEyO6XFDxK4lDQe,214533,-15.359,0.0429,0.181,111.956,0.0747,0.00123,0
548,medicine,Bring Me The Horizon,861296,2019-01-04,03CbQgFxnBFoaaVJTfEqMD,227265,-3.3,0.0396,0.858,97.038,0.323,0.0,1
549,I Found You / Nilda’s Story (with Calvin Harris & Miguel),benny blanco,815387,2019-01-04,3eVuglKxN2sjoIGHAsFAge,191465,-9.849,0.0527,0.241,81.916,0.181,0.0112,1
550,Che cazzo ridi (feat. Trippie Redd),Fedez,672376,2019-01-04,7GeC7Nb58zsPnlFSfF0HZU,216368,-4.596,0.0503,0.704,149.653,0.544,0.0,1
551,TIC TOC,6ix9ine,579470,2019-01-05,4m5Cd9kAbIxg6t9sMrQWtk,135739,-6.646,0.0723,0.691,142.027,0.683,0.0,0
552,No Brainer,DJ Khaled,573905,2019-01-05,5WvAo7DNuPRmk4APhdPzi8,260000,-4.706,0.342,0.76,135.702,0.639,0.0,1
553,Quiere Beber,Anuel AA,539087,2019-01-06,3rPAD722s5FFNnwjC91t7Z,187125,-3.482,0.113,0.57,95.038,0.772,0.00524,1
554,Killer Queen - Remastered 2011,Queen,585551,2019-01-07,7GqWnsKhMtEW0nzki5o0d8,179600,-6.495,0.0447,0.642,117.305,0.604,0.0,1
555,This Is Me,Keala Settle,577349,2019-01-07,2xGjteMU3E1tkEPVFBO08U,234707,-7.276,0.186,0.704,191.702,0.1,0.000115,1
556,MAMA,6ix9ine,589524,2019-01-08,1oJ8EDr2pv94IvSd6ZmDgo,192405,-5.887,0.212,0.672,160.077,0.437,9.77e-06,1
557,Lie To Me,5 Seconds of Summer,601762,2019-01-09,3567eNX2L3RkkMkwspncMH,150467,-5.571,0.0359,0.478,159.951,0.692,0.0,1
558,Topanga,Trippie Redd,651325,2019-01-10,5aXgz1oKK8Q9z9xvTmSnrO,215364,-8.245,0.0454,0.615,105.955,0.039,1.75e-06,1
559,come out and play,Billie Eilish,611602,2019-01-10,7wC5eZcFS1Q1BsQ35DU6H4,210376,-14.604,0.0931,0.321,145.045,0.177,0.0307,1
560,STARGAZING,Travis Scott,609625,2019-01-10,7wBJfHzpfI3032CSD7CE2m,270715,-3.69,0.044,0.789,150.007,0.0564,4.05e-06,1
561,Ocean (feat. Khalid),Martin Garrix,608765,2019-01-10,3nc420PXjTdBV5TN0gCFkS,216420,-7.265,0.0412,0.693,139.912,0.221,9.58e-05,0
562,Unforgettable,French Montana,606022,2019-01-10,3B54sVLJ402zGa6Xm4YGNe,233902,-5.043,0.123,0.769,97.985,0.733,0.0101,1
563,Without Me (with Juice WRLD),Halsey,750487,2019-01-11,6Zc5f20q7sOe1IC1c1jQvZ,228816,-6.103,0.0747,0.515,136.02,0.452,0.0,1
564,Estado Decadente - Acústico,Zé Neto & Cristiano,727464,2019-01-11,4eB8rsNNm5791m3uvEBNLR,173831,-4.78,0.0658,0.687,117.927,0.583,0.0,1
565,More Than That,Lauren Jauregui,719969,2019-01-11,180WImKPbvdUrboKUov5f4,158733,-12.899,0.282,0.442,48.702,0.297,0.0,0
566,È sempre bello,Coez,697014,2019-01-11,18LXrvm337xqvFxpaB9Puj,203872,-6.792,0.164,0.63,110.919,0.499,0.0,1
567,Jumpin on a Jet,Future,667920,2019-01-12,3zuMEteRKyQCujA5CiS1jl,138541,-6.33,0.0902,0.596,140.032,0.154,5.59e-06,1
568,hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,628646,2019-01-12,1PfUKiMDKIlPEF9FfdJawc,324302,-10.125,0.0708,0.144,164.839,0.274,1.84e-06,1
569,Só Pra Castigar,Wesley Safadão,564347,2019-01-13,2X8sssaxS5GReg6945B6RW,163851,-1.77,0.0386,0.94,124.015,0.648,0.0,1
570,Rewrite The Stars,Zac Efron,605636,2019-01-14,630sXRhIcfwr2e4RdNtjKN,217440,-7.005,0.0386,0.619,125.046,0.284,0.0,1
571,all my friends,21 Savage,604827,2019-01-14,4paAidoE8VAemwU4jgCc6l,211785,-4.513,0.0422,0.62,130.09,0.206,1.16e-06,1
572,WHEN I WAS OLDER - Music Inspired By The Film ROMA,Billie Eilish,628285,2019-01-15,7tGEAA1f8MydT7eVbbO9Zy,270520,-12.834,0.0425,0.332,150.13,0.0628,0.433,1
573,Crushed Up,Future,827824,2019-01-17,7AYuSG1LoaaFVKjOxsB6Vh,150323,-6.817,0.209,0.599,157.999,0.586,0.0,0
574,Call Out My Name,The Weeknd,627760,2019-01-17,1gm616Plq4ScqNi7TVkZ5N,228373,-4.929,0.036,0.598,134.045,0.172,0.0,1
575,Mala Mía,Maluma,624109,2019-01-17,62o8KoI44JfN7aYxgTnPvh,183753,-4.883,0.345,0.752,180.049,0.901,0.0,1
576,Rocket Ship,Future,899669,2019-01-18,4HfaOznGhHYWqPtpLYz2PB,116847,-4.941,0.261,0.38,133.941,0.128,0.0,1
577,Temptation,Future,888614,2019-01-18,2gXOzCwbVXACCaYRj4Qrep,167673,-6.744,0.184,0.55,130.004,0.299,0.000204,1
578,F&N,Future,844795,2019-01-18,5YP6yKgGGsXKukqxXypVAf,189428,-4.766,0.191,0.628,160.94,0.393,6.53e-05,1
579,Unicorn Purp (feat. Young Thug & Gunna),Future,748878,2019-01-18,2U3LJfQB0ALLxC7Yy0QW7l,246916,-4.905,0.195,0.761,134.047,0.377,1.41e-06,1
580,Wenn die Sonne untergeht,Azet,731797,2019-01-18,23N0z3XkwS2ErcNKsgCWAb,177103,-4.085,0.161,0.829,90.602,0.394,0.0,1
581,Call the Coroner,Future,719302,2019-01-18,1WlU4jsJ8AoTB96dgd8LJA,131756,-3.331,0.202,0.805,134.55,0.879,0.0515,0
582,Almost (Sweet Music),Hozier,707389,2019-01-18,2e9N4vHYVUwSwRorBzsZXE,217480,-5.589,0.135,0.689,88.875,0.706,1.69e-06,1
583,Faceshot,Future,683956,2019-01-18,5R2pz8i4k4bvRAqiIFXzKz,175860,-4.234,0.0832,0.833,165.97,0.132,0.0,1
584,Stamm Fort (feat. Sfera Ebbasta),Luche,660380,2019-01-19,7hHf4gz7kGmkuwa6XMc88W,171375,-5.094,0.123,0.521,160.087,0.643,0.000125,1
585,Parado no Bailão,MC L da Vinte,649772,2019-01-19,3Hb9kUdm4yf839Fle4RIdT,171692,-1.624,0.149,0.599,86.533,0.478,0.0,1
586,Never Stop,Future,648730,2019-01-19,1AGPmw3QJBNfOK6XioDhZp,291334,-5.857,0.223,0.556,155.465,0.0762,0.000149,1
587,Promise U That,Future,648596,2019-01-19,7EB2UpfRbS4QVjZQlKLi3Z,205423,-6.579,0.159,0.568,127.806,0.446,0.0,0
588,Benzema,Capital Bra,638312,2019-01-19,7KPGeiXWDsGEvFK62wzU8E,159152,-6.156,0.329,0.692,100.082,0.26,0.0,0
